STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
17750,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17750.00,8,0,0.0,4,0.0,2195.0,440.0,25.071225071225072,10100,8100,1800,2114.15,1800,2276.0,19979.15
17750,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17750.00,1852,312,20.25974025974026,14214,69.14,0.1,-0.8,-88.8888888888889,0,60300,0,0.0,9100,0.05,19979.15
17800,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17800.00,67,-69,-50.73529411764706,115,132.85,2200.0,200.0,10.0,5300,5300,500,2150.15,500,2244.8,19979.15
17800,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17800.00,3723,-1409,-27.4551831644583,17983,64.3,0.05,-0.75,-93.75,0,56400,0,0.0,6000,0.05,19979.15
17850,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17850.00,17,-3,-15.0,4,110.17,2134.0,244.0,12.91005291005291,4500,4500,1750,2006.95,1000,2187.85,19979.15
17850,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17850.00,1281,-57,-4.260089686098655,8939,62.83,0.05,-0.85,-94.44444444444444,0,67100,0,0.0,8300,0.05,19979.15
17900,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17900.00,43,0,0.0,1,0.0,1915.0,-10.0,-0.5194805194805194,5000,5000,500,1937.2,500,2115.85,19979.15
17900,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17900.00,5542,-1589,-22.28298976300659,24074,61.37,0.05,-0.75,-93.75,0,53000,0,0.0,1500,0.05,19979.15
17950,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE17950.00,112,0,0.0,0,0.0,0.0,0.0,0.0,4500,5000,1750,1890.35,500,2076.35,19979.15
17950,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE17950.00,1399,-157,-10.089974293059123,13648,59.91,0.05,-0.8999999999999999,-94.73684210526316,0,58800,0,0.0,400,0.05,19979.15
18000,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18000.00,118,-239,-66.9467787114846,311,99.68,1982.0,152.9000000000001,8.359302389153141,4950,7100,250,1956.85,600,2000.5,19979.15
18000,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18000.00,30159,-23472,-43.76573250545393,246662,58.46,0.05,-0.85,-94.44444444444444,0,308350,0,0.0,253750,0.05,19979.15
18050,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18050.00,107,0,0.0,2,0.0,1780.0,20.40000000000009,1.1593543987269888,5000,5000,1750,1795.95,500,1986.5,19979.15
18050,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18050.00,1088,-970,-47.13313896987366,10678,57.0,0.05,-0.8999999999999999,-94.73684210526316,0,57500,0,0.0,500,0.05,19979.15
18100,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18100.00,72,-4,-5.2631578947368425,21,99.97,1885.0,208.3499999999999,12.426564876390415,4600,5900,50,1862.5,600,1900.5,19979.15
18100,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18100.00,6621,-727,-9.893848666303755,36401,55.55,0.05,-0.95,-95.0,0,64050,0,0.0,10550,0.05,19979.15
18150,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18150.00,61,0,0.0,4,0.0,1805.0,505.5999999999999,38.91026627674311,5000,5000,500,1702.8,500,1884.1,19979.15
18150,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18150.00,1606,22,1.3888888888888888,16346,54.09,0.05,-0.95,-95.0,0,57450,0,0.0,1650,0.05,19979.15
18200,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18200.00,63,-23,-26.74418604651163,33,0.0,1760.0,191.79999999999995,12.230582833822211,5100,5100,600,1759.1,600,1800.5,19979.15
18200,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18200.00,16999,-4844,-22.176440965068902,49942,52.64,0.05,-0.7999999999999999,-94.11764705882352,0,77600,0,0.0,4600,0.05,19979.15
18250,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18250.00,74,-2,-2.631578947368421,30,0.0,1715.0,215.0,14.333333333333334,5000,5600,1750,1606.55,600,1751.9,19979.15
18250,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18250.00,1792,-520,-22.491349480968857,33183,53.91,0.1,-0.95,-90.47619047619048,0,67100,0,0.0,4450,0.05,19979.15
18300,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18300.00,117,-86,-42.364532019704434,92,106.92,1700.6,187.79999999999995,12.414066631411949,4900,6400,250,1656.85,600,1700.5,19979.15
